train_epoch,50
batch_size,64
lr,0.001
lr_decrease,multi_step
total_epoch,5
weight_decay,0.0005
momentum,0.9
class_num,2
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
se_reduction,16
optim,sgd
method,patch_kd_multikd_avg_sgd
teacher_modal,multi
teacher_data,multi
student_modal,rgb
student_data,multi_rgb
miss_modal,0
student_name,resnet18_se
init_mode,random
T,2.0
p,2.0
cuda,True
kd_mode,multi_st
dataset,surf
protocol,race_prot_rdi_4@5
data_root,/home/bigspace/shicaiwei//liveness_data/CASIA-SURF
gpu,2
version,1
lr_warmup,1
weight_patch,0
fc_mode,random
lambda_kd,0.4
name,surf_patch_kd_multikd_avg_sgd_multi_multi_rgb_lr_0.001_version_1_lambda_kd_0.4_weight_patch_0
sift,0
modal,rgb
log_name,surf_patch_kd_multikd_avg_sgd_multi_multi_rgb_lr_0.001_version_1_lambda_kd_0.4_weight_patch_0.csv
model_name,surf_patch_kd_multikd_avg_sgd_multi_multi_rgb_lr_0.001_version_1_lambda_kd_0.4_weight_patch_0
1.7798942405584077,0.681,0
1.782828464518468,0.681,0.681
1.1180226244520413,0.763,0.763
0.7442399253621372,0.815,0.815
0.5887548906574083,0.845,0.845
0.5391610135287697,0.838,0.845
0.509823270434896,0.853,0.853
0.4986968569490066,0.874,0.874
0.4961574563683381,0.883,0.883
0.5051879032990818,0.898,0.898
0.5054520375733813,0.88,0.898
0.5089071422945464,0.821,0.898
0.5223944724647239,0.841,0.898
0.5201470932585703,0.875,0.898
0.5086125447109797,0.9,0.9
0.5174594760331525,0.897,0.9
0.5154391309189484,0.899,0.9
0.5180953518532249,0.905,0.905
0.5173963321348465,0.91,0.91
0.5239370691724219,0.913,0.913
0.5300815024750722,0.913,0.913
0.5271939270881586,0.908,0.913
0.5280715710601431,0.9,0.913
0.5239364821707838,0.898,0.913
0.5284531107375715,0.908,0.913
0.5241641364503635,0.913,0.913
0.5288467856864221,0.908,0.913
0.5307391031470361,0.91,0.913
0.5257947432552362,0.91,0.913
0.524389217058644,0.911,0.913
0.5279449177621234,0.909,0.913
0.5276115826904514,0.911,0.913
0.5243988946795984,0.907,0.913
0.5280837701657974,0.909,0.913
0.526356639885486,0.907,0.913
0.526844224555003,0.908,0.913
0.5267464638927618,0.91,0.913
0.5250650201171767,0.909,0.913
0.5220471526207362,0.908,0.913
0.5200020544653897,0.911,0.913
0.5247387602339666,0.908,0.913
0.528786826016601,0.909,0.913
0.5233064555445093,0.91,0.913
0.5271185520694766,0.908,0.913
0.5262521129247923,0.911,0.913
0.524620412934295,0.909,0.913
0.5239906743754466,0.913,0.913
0.5295959409798077,0.909,0.913
0.5269461100408604,0.911,0.913
0.5281876936619979,0.909,0.913
